Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-1
WA5_RS13105	WA5_RS13105	2780996	2782318	MFS transporter	WA5_RS13105 // WA5_RS13100 // WA5_RS13095	WA5_RS13105 // WA5_RS13100 // WA5_RS13095
WA5_RS09555	WA5_RS09555	2020292	2020726	D-tyrosyl-tRNA(Tyr) deacylase	WA5_RS09555 // WA5_RS09550 // WA5_RS09545	WA5_RS09555 // WA5_RS09550 // WA5_RS09545
WA5_RS13000	WA5_RS13000	2753992	2756742	ExeM/NucH family extracellular endonuclease	WA5_RS13000	WA5_RS13000
WA5_RS15495	WA5_RS15495	3302996	3303616	hypothetical protein	WA5_RS15500 // WA5_RS15495	WA5_RS15500 // WA5_RS15495
WA5_RS06010	WA5_RS06010	1273285	1273527	ATP synthase F0 subunit C	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
eno	WA5_RS04865	1034948	1036225	phosphopyruvate hydratase	eno	WA5_RS04865
WA5_RS11230	WA5_RS11230	2391181	2391990	serine hydrolase	WA5_RS11230	WA5_RS11230
WA5_RS13030	WA5_RS13030	2763501	2764940	adenylosuccinate lyase	WA5_RS13035 // WA5_RS13030 // WA5_RS13025	WA5_RS13035 // WA5_RS13030 // WA5_RS13025
WA5_RS04070	WA5_RS04070	856116	857640	16S ribosomal RNA	WA5_RS04070	WA5_RS04070
WA5_RS04510	WA5_RS04510	954949	955291	transposase	WA5_RS04510 // WA5_RS15650	WA5_RS04510 // WA5_RS15650
WA5_RS15500	WA5_RS15500	3303633	3304772	ParB/RepB/Spo0J family partition protein	WA5_RS15500 // WA5_RS15495	WA5_RS15500 // WA5_RS15495
smc	WA5_RS10270	2179624	2183091	chromosome segregation protein SMC	WA5_RS10280 // WA5_RS10275 // smc	WA5_RS10280 // WA5_RS10275 // smc
WA5_RS00280	WA5_RS00280	51623	53095	NAD-dependent succinate-semialdehyde dehydrogenase	WA5_RS00280	WA5_RS00280
WA5_RS11235	WA5_RS11235	2392072	2392530	DUF4274 domain-containing protein	WA5_RS11235	WA5_RS11235
WA5_RS07535	WA5_RS07535	1591937	1592965	NAD(P)/FAD-dependent oxidoreductase	WA5_RS15730 // WA5_RS07535	WA5_RS15730 // WA5_RS07535
WA5_RS08425	WA5_RS08425	1789079	1789564	hypothetical protein	WA5_RS08430 // WA5_RS08425	WA5_RS08430 // WA5_RS08425
WA5_RS00935	WA5_RS00935	188744	189736	LacI family DNA-binding transcriptional regulator	WA5_RS00935 // WA5_RS00930	WA5_RS00935 // WA5_RS00930
WA5_RS01565	WA5_RS01565	313622	314464	HAD family hydrolase	WA5_RS01565	WA5_RS01565
WA5_RS03180	WA5_RS03180	648437	649114	ABC transporter permease	WA5_RS03185 // WA5_RS03180	WA5_RS03185 // WA5_RS03180
WA5_RS13310	WA5_RS13310	2825341	2826159	ABC transporter ATP-binding protein	WA5_RS13310 // WA5_RS13305 // WA5_RS13300	WA5_RS13310 // WA5_RS13305 // WA5_RS13300
WA5_RS06015	WA5_RS06015	1273558	1274124	F0F1 ATP synthase subunit B	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
WA5_RS15505	WA5_RS15505	3304832	3305755	ParA family protein	WA5_RS15505	WA5_RS15505
mce	WA5_RS06060	1281258	1281713	methylmalonyl-CoA epimerase	mce	WA5_RS06060
qsuB	WA5_RS02150	444185	446041	dehydroshikimate dehydratase QsuB	WA5_RS02160 // aroQ // qsuB // WA5_RS02145	WA5_RS02160 // aroQ // qsuB // WA5_RS02145
thiO	WA5_RS10150	2150996	2152120	glycine oxidase ThiO	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145
WA5_RS08770	WA5_RS08770	1855531	1856790	AAA family ATPase	WA5_RS08770	WA5_RS08770
WA5_RS13020	WA5_RS13020	2759529	2761649	S9 family peptidase	WA5_RS13020	WA5_RS13020
WA5_RS11490	WA5_RS11490	2444030	2444551	hypothetical protein	WA5_RS11490	WA5_RS11490
rsmG	WA5_RS15510	3305861	3306490	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG	WA5_RS15510
dld	WA5_RS04515	955682	957397	D-lactate dehydrogenase	dld	WA5_RS04515
WA5_RS11245	WA5_RS11245	2393164	2393406	hypothetical protein	WA5_RS11250 // WA5_RS11245	WA5_RS11250 // WA5_RS11245
WA5_RS13025	WA5_RS13025	2761782	2762675	phosphoribosylaminoimidazolesuccinocarboxamide synthase	WA5_RS13035 // WA5_RS13030 // WA5_RS13025	WA5_RS13035 // WA5_RS13030 // WA5_RS13025
WA5_RS06020	WA5_RS06020	1274130	1274945	F0F1 ATP synthase subunit delta	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
yidC	WA5_RS15515	3306679	3307632	membrane protein insertase YidC	yidC	WA5_RS15515
WA5_RS11250	WA5_RS11250	2393428	2393973	hypothetical protein	WA5_RS11250 // WA5_RS11245	WA5_RS11250 // WA5_RS11245
WA5_RS04520	WA5_RS04520	957840	958997	site-specific DNA-methyltransferase	WA5_RS04520	WA5_RS04520
WA5_RS04075	WA5_RS04075	858032	861111	23S ribosomal RNA	WA5_RS04075	WA5_RS04075
yidD	WA5_RS15920	3307688	3307987	membrane protein insertion efficiency factor YidD	rpmH // rnpA // yidD	rpmH // rnpA // yidD
WA5_RS11255	WA5_RS11255	2393970	2394398	hypothetical protein	WA5_RS11255	WA5_RS11255
WA5_RS00285	WA5_RS00285	53055	54011	phenol 2-monooxygenase	WA5_RS00285	WA5_RS00285
WA5_RS00940	WA5_RS00940	189920	190324	hypothetical protein	WA5_RS00940	WA5_RS00940
WA5_RS03190	WA5_RS03190	650389	651288	MetQ/NlpA family ABC transporter substrate-binding protein	WA5_RS03190	WA5_RS03190
WA5_RS09560	WA5_RS09560	2020853	2021848	sigma-70 family RNA polymerase sigma factor	WA5_RS09560	WA5_RS09560
WA5_RS13035	WA5_RS13035	2764975	2766084	pyridoxal phosphate-dependent aminotransferase	WA5_RS13035 // WA5_RS13030 // WA5_RS13025	WA5_RS13035 // WA5_RS13030 // WA5_RS13025
WA5_RS06025	WA5_RS06025	1275007	1276650	F0F1 ATP synthase subunit alpha	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
rnpA	WA5_RS15520	3307968	3308369	ribonuclease P protein component	rpmH // rnpA // yidD	rpmH // rnpA // yidD
aroQ	WA5_RS02155	446087	446524	type II 3-dehydroquinate dehydratase	WA5_RS02160 // aroQ // qsuB // WA5_RS02145	WA5_RS02160 // aroQ // qsuB // WA5_RS02145
WA5_RS11260	WA5_RS11260	2394594	2394938	hypothetical protein	WA5_RS11260	WA5_RS11260
WA5_RS15655	WA5_RS15655	959824	961016	IS3 family transposase	WA5_RS15655	WA5_RS15655
purD	WA5_RS13040	2766155	2767420	phosphoribosylamine--glycine ligase	purD	WA5_RS13040
rpmH	WA5_RS15525	3308409	3308552	50S ribosomal protein L34	rpmH // rnpA // yidD	rpmH // rnpA // yidD
WA5_RS11270	WA5_RS11270	2395216	2396766	alkaline phosphatase D family protein	WA5_RS11270	WA5_RS11270
WA5_RS04535	WA5_RS04535	961296	961655	winged helix-turn-helix transcriptional regulator	WA5_RS04540 // WA5_RS04535	WA5_RS04540 // WA5_RS04535
WA5_RS13045	WA5_RS13045	2767586	2767996	HIT family protein	WA5_RS13045	WA5_RS13045
WA5_RS06030	WA5_RS06030	1276707	1277684	F0F1 ATP synthase subunit gamma	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
WA5_RS04540	WA5_RS04540	961613	962251	cadmium resistance transporter	WA5_RS04540 // WA5_RS04535	WA5_RS04540 // WA5_RS04535
WA5_RS11285	WA5_RS11285	2397264	2399102	glycoside hydrolase family 15 protein	WA5_RS11285	WA5_RS11285
WA5_RS15770	WA5_RS15770	1961110	1962966	LGFP repeat-containing protein	WA5_RS15770 // WA5_RS09200	WA5_RS15770 // WA5_RS09200
rrf	WA5_RS04080	861225	861341	5S ribosomal RNA	rrf	WA5_RS04080
WA5_RS13050	WA5_RS13050	2768340	2769095	class I SAM-dependent methyltransferase	WA5_RS13050	WA5_RS13050
WA5_RS11290	WA5_RS11290	2399158	2399400	hypothetical protein	WA5_RS11290	WA5_RS11290
WA5_RS00290	WA5_RS00290	54179	55549	MBL fold metallo-hydrolase	WA5_RS00290	WA5_RS00290
WA5_RS08430	WA5_RS08430	1789579	1789770	hypothetical protein	WA5_RS08430 // WA5_RS08425	WA5_RS08430 // WA5_RS08425
WA5_RS00945	WA5_RS00945	190700	192175	sugar porter family MFS transporter	WA5_RS00945	WA5_RS00945
WA5_RS01575	WA5_RS01575	316002	317135	TadA family conjugal transfer-associated ATPase	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570
WA5_RS03200	WA5_RS03200	654676	655125	PH domain-containing protein	WA5_RS03210 // WA5_RS03205 // WA5_RS03200	WA5_RS03210 // WA5_RS03205 // WA5_RS03200
WA5_RS09565	WA5_RS09565	2022265	2022951	metal-dependent transcriptional regulator	galE // WA5_RS09565	galE // WA5_RS09565
WA5_RS13055	WA5_RS13055	2769153	2770598	peptide MFS transporter	WA5_RS13055	WA5_RS13055
atpD	WA5_RS06035	1277687	1279138	F0F1 ATP synthase subunit beta	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
WA5_RS02160	WA5_RS02160	446538	447389	quinate/shikimate dehydrogenase (NAD+)	WA5_RS02160 // aroQ // qsuB // WA5_RS02145	WA5_RS02160 // aroQ // qsuB // WA5_RS02145
WA5_RS11295	WA5_RS11295	2399402	2401303	DNA primase	WA5_RS11295	WA5_RS11295
WA5_RS04545	WA5_RS04545	962808	963641	TatD family hydrolase	WA5_RS04545	WA5_RS04545
WA5_RS13060	WA5_RS13060	2770714	2771985	adenosylmethionine--8-amino-7-oxononanoate transaminase	bioD // WA5_RS13060	bioD // WA5_RS13060
WA5_RS08920	WA5_RS08920	1899229	1899807	DUF456 domain-containing protein	WA5_RS08925 // WA5_RS08920	WA5_RS08925 // WA5_RS08920
WA5_RS11300	WA5_RS11300	2401343	2401837	ribonuclease	WA5_RS11305 // WA5_RS11300	WA5_RS11305 // WA5_RS11300
bioD	WA5_RS13065	2771989	2772663	ATP-dependent dethiobiotin synthetase BioD	bioD // WA5_RS13060	bioD // WA5_RS13060
WA5_RS06040	WA5_RS06040	1279150	1279524	F0F1 ATP synthase subunit epsilon	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB	WA5_RS06040 // atpD // WA5_RS06030 // WA5_RS06025 // WA5_RS06020 // WA5_RS06015 // WA5_RS06010 // atpB
WA5_RS04550	WA5_RS04550	963812	964936	resuscitation-promoting factor	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550
WA5_RS11305	WA5_RS11305	2401838	2402083	hypothetical protein	WA5_RS11305 // WA5_RS11300	WA5_RS11305 // WA5_RS11300
WA5_RS10165	WA5_RS10165	2153057	2154193	ThiF family adenylyltransferase	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145	WA5_RS10165 // WA5_RS10160 // thiS // thiO // WA5_RS10145
glmS	WA5_RS11310	2402141	2404012	glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS	WA5_RS11310
WA5_RS04220	WA5_RS04220	897229	897301	tRNA-Arg	WA5_RS04220	WA5_RS04220
WA5_RS13070	WA5_RS13070	2772641	2774098	HAMP domain-containing histidine kinase	WA5_RS13075 // WA5_RS13070	WA5_RS13075 // WA5_RS13070
rsmA	WA5_RS04555	964973	965854	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550
WA5_RS00295	WA5_RS00295	55626	56372	sulfite exporter TauE/SafE family protein	WA5_RS00305 // WA5_RS00300 // WA5_RS00295	WA5_RS00305 // WA5_RS00300 // WA5_RS00295
WA5_RS00950	WA5_RS00950	193262	194467	IS30-like element ISCg2 family transposase	WA5_RS00950	WA5_RS00950
WA5_RS01580	WA5_RS01580	317120	317896	type II secretion system F family protein	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570
galE	WA5_RS09570	2022958	2023947	UDP-glucose 4-epimerase GalE	galE // WA5_RS09565	galE // WA5_RS09565
WA5_RS13075	WA5_RS13075	2774107	2774814	response regulator transcription factor	WA5_RS13075 // WA5_RS13070	WA5_RS13075 // WA5_RS13070
WA5_RS06045	WA5_RS06045	1279769	1280242	DUF2550 domain-containing protein	nucS // WA5_RS06045	nucS // WA5_RS06045
WA5_RS04560	WA5_RS04560	965851	966786	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550
WA5_RS02165	WA5_RS02165	447395	447670	ribosomal protein L7/L12	WA5_RS02165	WA5_RS02165
WA5_RS11320	WA5_RS11320	2404984	2406258	deoxyguanosinetriphosphate triphosphohydrolase	WA5_RS11325 // WA5_RS11320	WA5_RS11325 // WA5_RS11320
WA5_RS13080	WA5_RS13080	2774934	2775689	MerR family transcriptional regulator	WA5_RS13080	WA5_RS13080
WA5_RS04565	WA5_RS04565	966827	968662	ABC-F family ATP-binding cassette domain-containing protein	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550
WA5_RS11325	WA5_RS11325	2406259	2406861	YdcF family protein	WA5_RS11325 // WA5_RS11320	WA5_RS11325 // WA5_RS11320
WA5_RS13085	WA5_RS13085	2775737	2776768	D-TA family PLP-dependent enzyme	WA5_RS13090 // WA5_RS13085	WA5_RS13090 // WA5_RS13085
WA5_RS11330	WA5_RS11330	2406978	2409032	TPM domain-containing protein	WA5_RS11330	WA5_RS11330
WA5_RS09215	WA5_RS09215	1963135	1963428	hypothetical protein	WA5_RS09215	WA5_RS09215
WA5_RS13955	WA5_RS13955	2974467	2975594	hypothetical protein	WA5_RS13960 // WA5_RS13955	WA5_RS13960 // WA5_RS13955
WA5_RS04885	WA5_RS04885	1038512	1038588	tRNA-Leu	WA5_RS04885	WA5_RS04885
WA5_RS04570	WA5_RS04570	968666	969460	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550	WA5_RS04570 // WA5_RS04565 // WA5_RS04560 // rsmA // WA5_RS04550
WA5_RS11335	WA5_RS11335	2409776	2410264	hypothetical protein	WA5_RS11340 // WA5_RS11335	WA5_RS11340 // WA5_RS11335
WA5_RS00300	WA5_RS00300	56383	56676	rhodanese-like domain-containing protein	WA5_RS00305 // WA5_RS00300 // WA5_RS00295	WA5_RS00305 // WA5_RS00300 // WA5_RS00295
WA5_RS00955	WA5_RS00955	194601	195038	PAS domain S-box protein	WA5_RS00955	WA5_RS00955
WA5_RS13610	WA5_RS13610	2892135	2893100	hypothetical protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
WA5_RS08435	WA5_RS08435	1789832	1790059	hypothetical protein	WA5_RS08435	WA5_RS08435
WA5_RS01585	WA5_RS01585	317893	318468	type II secretion system F family protein	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570
WA5_RS03220	WA5_RS03220	658155	658931	NAD-dependent deacylase	WA5_RS03225 // WA5_RS03220	WA5_RS03225 // WA5_RS03220
WA5_RS09575	WA5_RS09575	2023944	2025269	DUF4192 domain-containing protein	WA5_RS09575	WA5_RS09575
WA5_RS13095	WA5_RS13095	2778965	2780449	MFS transporter	WA5_RS13105 // WA5_RS13100 // WA5_RS13095	WA5_RS13105 // WA5_RS13100 // WA5_RS13095
WA5_RS02170	WA5_RS02170	448127	449179	ABC transporter ATP-binding protein	WA5_RS02180 // WA5_RS02175 // WA5_RS02170	WA5_RS02180 // WA5_RS02175 // WA5_RS02170
WA5_RS11340	WA5_RS11340	2410277	2410840	hypothetical protein	WA5_RS11340 // WA5_RS11335	WA5_RS11340 // WA5_RS11335
WA5_RS10170	WA5_RS10170	2154456	2156732	RNA-binding transcriptional accessory protein	WA5_RS10180 // WA5_RS10175 // WA5_RS10170	WA5_RS10180 // WA5_RS10175 // WA5_RS10170
WA5_RS08775	WA5_RS08775	1856914	1858740	hypothetical protein	WA5_RS08785 // WA5_RS08780 // WA5_RS08775	WA5_RS08785 // WA5_RS08780 // WA5_RS08775
WA5_RS13100	WA5_RS13100	2780439	2780972	TetR family transcriptional regulator	WA5_RS13105 // WA5_RS13100 // WA5_RS13095	WA5_RS13105 // WA5_RS13100 // WA5_RS13095
WA5_RS01720	WA5_RS01720	346107	346460	hypothetical protein	WA5_RS01720	WA5_RS01720
WA5_RS04575	WA5_RS04575	969457	969939	TlpA family protein disulfide reductase	WA5_RS04575	WA5_RS04575
WA5_RS11345	WA5_RS11345	2410953	2412338	glycine--tRNA ligase	WA5_RS11345	WA5_RS11345
WA5_RS03225	WA5_RS03225	658933	659427	nucleoside deaminase	WA5_RS03225 // WA5_RS03220	WA5_RS03225 // WA5_RS03220
WA5_RS06065	WA5_RS06065	1281802	1282107	thiamine-binding protein	WA5_RS06065	WA5_RS06065
WA5_RS11350	WA5_RS11350	2412580	2412951	winged helix-turn-helix transcriptional regulator	WA5_RS11355 // WA5_RS11350	WA5_RS11355 // WA5_RS11350
WA5_RS05860	WA5_RS05860	1236395	1236467	tRNA-Arg	WA5_RS05860	WA5_RS05860
WA5_RS13110	WA5_RS13110	2782337	2784481	family 16 glycosylhydrolase	WA5_RS13110	WA5_RS13110
WA5_RS04580	WA5_RS04580	970028	970351	antibiotic biosynthesis monooxygenase	WA5_RS04580	WA5_RS04580
WA5_RS00305	WA5_RS00305	56677	57270	rhodanese-like domain-containing protein	WA5_RS00305 // WA5_RS00300 // WA5_RS00295	WA5_RS00305 // WA5_RS00300 // WA5_RS00295
WA5_RS11355	WA5_RS11355	2412992	2413426	transcriptional repressor	WA5_RS11355 // WA5_RS11350	WA5_RS11355 // WA5_RS11350
gltB	WA5_RS00960	195240	199772	glutamate synthase large subunit	WA5_RS00965 // gltB	WA5_RS00965 // gltB
WA5_RS01590	WA5_RS01590	318492	318692	DUF4244 domain-containing protein	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570
WA5_RS03230	WA5_RS03230	659543	660541	iron-siderophore ABC transporter substrate-binding protein	WA5_RS03230	WA5_RS03230
WA5_RS09580	WA5_RS09580	2025422	2026381	PAC2 family protein	WA5_RS09580	WA5_RS09580
WA5_RS06555	WA5_RS06555	1382841	1383851	NUDIX hydrolase	WA5_RS06555	WA5_RS06555
WA5_RS02175	WA5_RS02175	449180	450826	iron ABC transporter permease	WA5_RS02180 // WA5_RS02175 // WA5_RS02170	WA5_RS02180 // WA5_RS02175 // WA5_RS02170
WA5_RS11360	WA5_RS11360	2413568	2415121	HNH endonuclease	WA5_RS11360	WA5_RS11360
WA5_RS10175	WA5_RS10175	2156743	2157720	LacI family DNA-binding transcriptional regulator	WA5_RS10180 // WA5_RS10175 // WA5_RS10170	WA5_RS10180 // WA5_RS10175 // WA5_RS10170
WA5_RS13630	WA5_RS13630	2900327	2903920	tubulin-like doman-containing protein	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600	WA5_RS13640 // WA5_RS13635 // WA5_RS13630 // WA5_RS13625 // WA5_RS13620 // WA5_RS13615 // WA5_RS13610 // WA5_RS13605 // WA5_RS13600
WA5_RS07570	WA5_RS07570	1598678	1599616	aldo/keto reductase	WA5_RS07580 // WA5_RS07575 // WA5_RS07570	WA5_RS07580 // WA5_RS07575 // WA5_RS07570
WA5_RS13115	WA5_RS13115	2784653	2785666	FAD-binding protein	WA5_RS13120 // WA5_RS13115	WA5_RS13120 // WA5_RS13115
WA5_RS04585	WA5_RS04585	970417	970740	antibiotic biosynthesis monooxygenase	WA5_RS04585	WA5_RS04585
WA5_RS11365	WA5_RS11365	2415295	2416368	VIT1/CCC1 transporter family protein	WA5_RS11370 // WA5_RS11365	WA5_RS11370 // WA5_RS11365
WA5_RS03895	WA5_RS03895	824189	825241	PDZ domain-containing protein	WA5_RS03895	WA5_RS03895
WA5_RS03235	WA5_RS03235	660647	661120	tRNA (cytidine(34)-2'-O)-methyltransferase	WA5_RS03235	WA5_RS03235
WA5_RS06075	WA5_RS06075	1283323	1284468	LLM class flavin-dependent oxidoreductase	WA5_RS06075	WA5_RS06075
WA5_RS11370	WA5_RS11370	2416368	2417099	isoprenyl transferase	WA5_RS11370 // WA5_RS11365	WA5_RS11370 // WA5_RS11365
WA5_RS09220	WA5_RS09220	1963510	1964742	hypothetical protein	WA5_RS09230 // WA5_RS09225 // WA5_RS09220	WA5_RS09230 // WA5_RS09225 // WA5_RS09220
WA5_RS03240	WA5_RS03240	661166	662020	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	WA5_RS03245 // WA5_RS03240	WA5_RS03245 // WA5_RS03240
WA5_RS13125	WA5_RS13125	2786753	2787715	diaminopimelate dehydrogenase	WA5_RS13125	WA5_RS13125
ppk2	WA5_RS04590	970863	971825	polyphosphate kinase 2	ppk2	WA5_RS04590
WA5_RS00310	WA5_RS00310	57397	57654	metal-sensitive transcriptional regulator	WA5_RS00310	WA5_RS00310
recO	WA5_RS11375	2417219	2417947	DNA repair protein RecO	era // recO	era // recO
WA5_RS00965	WA5_RS00965	199772	201292	glutamate synthase subunit beta	WA5_RS00965 // gltB	WA5_RS00965 // gltB
WA5_RS01595	WA5_RS01595	318696	319016	hypothetical protein	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570	WA5_RS01600 // WA5_RS01595 // WA5_RS01590 // WA5_RS01585 // WA5_RS01580 // WA5_RS01575 // WA5_RS01570
WA5_RS08440	WA5_RS08440	1790457	1790801	hypothetical protein	WA5_RS08440	WA5_RS08440
WA5_RS09585	WA5_RS09585	2026505	2029045	DUF3516 domain-containing protein	WA5_RS09585	WA5_RS09585
WA5_RS13130	WA5_RS13130	2787782	2788597	PHB depolymerase family esterase	WA5_RS13130	WA5_RS13130
WA5_RS06080	WA5_RS06080	1284516	1285286	ABC transporter permease	WA5_RS06090 // WA5_RS06085 // WA5_RS06080	WA5_RS06090 // WA5_RS06085 // WA5_RS06080
WA5_RS02180	WA5_RS02180	450834	451913	ABC transporter substrate-binding protein	WA5_RS02180 // WA5_RS02175 // WA5_RS02170	WA5_RS02180 // WA5_RS02175 // WA5_RS02170
era	WA5_RS11380	2417966	2418883	GTPase Era	era // recO	era // recO
WA5_RS10180	WA5_RS10180	2157750	2159180	anion permease	WA5_RS10180 // WA5_RS10175 // WA5_RS10170	WA5_RS10180 // WA5_RS10175 // WA5_RS10170
WA5_RS08620	WA5_RS08620	1819744	1819953	hypothetical protein	WA5_RS08620	WA5_RS08620
WA5_RS06465	WA5_RS06465	1365592	1365663	tRNA-Gln	WA5_RS06485 // WA5_RS06480 // WA5_RS06475 // WA5_RS06470 // WA5_RS06465	WA5_RS06485 // WA5_RS06480 // WA5_RS06475 // WA5_RS06470 // WA5_RS06465
nagB	WA5_RS13260	2813276	2814037	glucosamine-6-phosphate deaminase	WA5_RS13265 // nagB // WA5_RS13255	WA5_RS13265 // nagB // WA5_RS13255
WA5_RS04595	WA5_RS04595	972240	973034	HAD family hydrolase	WA5_RS04595	WA5_RS04595
WA5_RS08925	WA5_RS08925	1899800	1900774	hypothetical protein	WA5_RS08925 // WA5_RS08920	WA5_RS08925 // WA5_RS08920
WA5_RS11385	WA5_RS11385	2418987	2420309	HlyC/CorC family transporter	WA5_RS11395 // ybeY // WA5_RS11385	WA5_RS11395 // ybeY // WA5_RS11385
WA5_RS05765	WA5_RS05765	1214870	1215940	maleylacetate reductase	WA5_RS05770 // WA5_RS05765 // WA5_RS05760	WA5_RS05770 // WA5_RS05765 // WA5_RS05760
WA5_RS13140	WA5_RS13140	2789474	2789905	hypothetical protein	WA5_RS13140	WA5_RS13140
WA5_RS08810	WA5_RS08810	1866327	1866794	hypothetical protein	WA5_RS08825 // WA5_RS08820 // WA5_RS08815 // WA5_RS08810	WA5_RS08825 // WA5_RS08820 // WA5_RS08815 // WA5_RS08810
WA5_RS06085	WA5_RS06085	1285301	1286032	ABC transporter ATP-binding protein	WA5_RS06090 // WA5_RS06085 // WA5_RS06080	WA5_RS06090 // WA5_RS06085 // WA5_RS06080
ybeY	WA5_RS11390	2420310	2420900	rRNA maturation RNase YbeY	WA5_RS11395 // ybeY // WA5_RS11385	WA5_RS11395 // ybeY // WA5_RS11385
